sp_id,sp_name
1,Acanthophora spicifera
2,Acetabularia schenckii 
3,Amphiora fragilissima 
4,Amphiora rigida 
5,Caulerpa cupressoides
6,Caulerpa sertulariodes
7,Derbesia turbinata
8,Dictyosphaeria cavernosa
9,Dictyosphaeria verluysii
10,Dictyota cervicornis
11,Digenea simplex
12,Halimeda discoidea
13,Halimeda incrassata
14,Halimeda monile
15,Laurencia cervicornis
16,Laurencia inticata
17,Laurencia papillosa
18,Liagora ceranoides
19,Lyngbya sp.
20,Neogoniolithon spectabile
21,Padina sanctae-crucis
22,Penicillus capitatus
23,Penicillus pyriformis
24,Pneophyllum fragile
25,Udotea dixonii
26,Udotea luna
27,Udotea spinulosa
28,Udotea cyathiformis
29,Ventricaria ventricosa
